### GDP_growth 摘要
  美国(USA): 2005-2009: 1.16, 2010-2014: 2.24, 2015-2019: 2.56, 2020-2024: -2.16
  英国(GBR): 2005-2009: 44785.98, 2010-2014: 43037.61, 2015-2019: 42539.68, 2020-2024: 40230.54
  法国(FRA): 2005-2009: 40221.85, 2010-2014: 42513.16, 2015-2019: 38928.18, 2020-2024: 39230.93
  印度(IND): 2005-2009: 925.08, 2010-2014: 1446.44, 2015-2019: 1857.39, 2020-2024: 1915.55
  巴西(BRA): 2005-2009: 7118.17, 2010-2014: 12354.01, 2015-2019: 9210.72, 2020-2024: 7057.07
  俄罗斯(RUS): 2005-2009: 8899.05, 2010-2014: 14185.01, 2015-2019: 10246.84, 2020-2024: 10074.76
  南非(ZAF): 2005-2009: 6377.44, 2010-2014: 7894.55, 2015-2019: 6425.99, 2020-2024: 5630.98
  加拿大(CAN): 2005-2009: 41896.02, 2010-2014: 51278.67, 2015-2019: 44850.45, 2020-2024: 43573.19
  澳大利亚(AUS): 2005-2009: 42883.74, 2010-2014: 63844.55, 2015-2019: 53937.12, 2020-2024: 53163.32
  韩国(KOR): 2005-2009: 22011.8, 2010-2014: 27192.8, 2015-2019: 32697.04, 2020-2024: 33653.2
  墨西哥(MEX): 2005-2009: 9386.39, 2010-2014: 10637.96, 2015-2019: 9735.91, 2020-2024: 8744.03
  印尼(IDN): 2005-2009: 2024.06, 2010-2014: 3561.51, 2015-2019: 3800.56, 2020-2024: 3919.47
  土耳其(TUR): 2005-2009: 9028.8, 2010-2014: 11670.66, 2015-2019: 10350.4, 2020-2024: 8600.04
  沙特(SAU): 2005-2009: 19041.5, 2010-2014: 26342.62, 2015-2019: 24595.86, 2020-2024: 23271.4
  阿根廷(ARG): 2005-2009: 7187.99, 2010-2014: 12957.65, 2015-2019: 12802.91, 2020-2024: 8489.33
  埃及(EGY): 2005-2009: 1921.48, 2010-2014: 3371.79, 2015-2019: 3262.62, 2020-2024: 3802.44
  尼日利亚(NGA): 2005-2009: 1759.27, 2010-2014: 2807.32, 2015-2019: 2277.97, 2020-2024: 2097.11

### Gov_debt 摘要
  美国(USA): 2005-2009: 48.99, 2010-2014: 75.43, 2015-2019: 79.82, 2020-2024: 95.63
  中国(CHN): 
  日本(JPN): 2005-2009: 101.51, 2010-2014: 140.1, 2015-2019: 148.96, 2020-2024: 161.96
  德国(DEU): 2005-2009: 55.68, 2010-2014: 58.28, 2015-2019: 45.43, 2020-2024: 45.32
  英国(GBR): 2005-2009: 43.22, 2010-2014: 74.8, 2015-2019: 77.55, 2020-2024: 93.12
  法国(FRA): 2005-2009: 62.15, 2010-2014: 81.64, 2015-2019: 89.27, 2020-2024: 101.61
  印度(IND): 
  巴西(BRA): 2005-2009: 43.48, 2010-2014: 33.55, 2015-2019: 48.12, 2020-2024: 61.37
  俄罗斯(RUS): 
  南非(ZAF): 2005-2009: 22.51, 2010-2014: 32.25, 2015-2019: 44.82, 2020-2024: 62.13
  加拿大(CAN): 2005-2009: 25.18, 2010-2014: 26.8, 2015-2019: 13.93, 2020-2024: 16.28
  澳大利亚(AUS): 2005-2009: -4.29, 2010-2014: 13.15, 2015-2019: 24.15, 2020-2024: 36.07
  韩国(KOR): 2010-2014: -3.28, 2015-2019: -1.31, 2020-2024: 2.16
  墨西哥(MEX): 2005-2009: 30.25, 2010-2014: 37.04, 2015-2019: 44.7, 2020-2024: 50.16
  印尼(IDN): 2005-2009: 22.55, 2010-2014: 19.77, 2015-2019: 24.89, 2020-2024: 36.13
  土耳其(TUR): 2005-2009: 36.27, 2010-2014: 28.45, 2015-2019: 23.76, 2020-2024: 30.75
  沙特(SAU): 2005-2009: -11.63, 2010-2014: -43.43, 2015-2019: -10.88, 2020-2024: 15.14
  阿根廷(ARG): 
  埃及(EGY): 2005-2009: 61.1, 2010-2014: 64.34, 2015-2019: 79.75, 2020-2024: 80.65
  尼日利亚(NGA): 2005-2009: 2.87, 2010-2014: 10.26, 2015-2019: 16.65, 2020-2024: 24.03
